,Random State,RMSE Train,MAE Train,MAPE Train,RMSE Test,MAE Test,MAPE Test,Y Train Average,Y Test Average
0,0,5.115935325622559,4.0265278816223145,0.014671023003757,5.6774187088012695,4.468422889709473,0.0165078863501548,275.8938293457031,273.5429382324219
1,1,5.032516002655029,4.0277605056762695,0.0147111136466264,5.08229398727417,3.967973709106445,0.0142875527963042,275.6331481933594,275.8771057128906
2,2,5.170927047729492,4.030607223510742,0.0146194072440266,4.917794704437256,3.883824110031128,0.0141729982569813,275.682373046875,275.4361267089844
3,3,5.30357837677002,4.185987949371338,0.0151363275945186,5.26494836807251,4.058409690856934,0.0146479345858097,275.37750244140625,278.1664428710937
4,4,4.923101902008057,3.9171528816223145,0.0142376814037561,5.745878219604492,4.50340747833252,0.0165030993521213,275.7743835449219,274.6125793457031
5,5,4.947233200073242,3.979207754135132,0.0145221203565597,5.834612846374512,4.54263162612915,0.0160787776112556,275.1160888671875,280.5072021484375
6,6,5.207443714141846,4.015613079071045,0.0145595092326402,6.653918743133545,5.171414852142334,0.0186253916472196,275.5989685058594,276.18328857421875
7,7,5.221761226654053,4.1190996170043945,0.0150130679830908,4.800363540649414,3.839846611022949,0.0141220623627305,275.8026428222656,274.359375
8,8,5.591806888580322,4.432329654693604,0.0160742159932851,5.047373294830322,3.927100658416748,0.0141105195507407,275.6208801269531,275.9872741699219
9,9,5.212430000305176,4.091248035430908,0.0148729523643851,5.901839733123779,4.607053279876709,0.0166335869580507,275.66265869140625,275.6128234863281
10,10,5.081974029541016,3.984095335006714,0.0145070515573024,5.153233528137207,4.008383750915527,0.0140690729022026,274.869140625,282.71826171875
11,11,5.0812087059021,4.002954483032227,0.0145183568820357,5.607317924499512,4.390303611755371,0.0164540763944387,276.4045104980469,268.9701843261719
12,12,4.919424533843994,3.930584192276001,0.0143836764618754,5.408975124359131,4.10818338394165,0.0147861614823341,275.2348022460937,279.4440002441406
13,13,5.455653667449951,4.265126705169678,0.0154962046071887,6.500073432922363,4.518304347991943,0.0153612624853849,274.8234558105469,283.1276550292969
14,14,5.068021297454834,3.998246669769287,0.0145098073408007,5.112061500549316,3.7504897117614746,0.0132211362943053,275.4549560546875,277.47265625
15,15,5.158915996551514,3.980545997619629,0.0143892280757427,5.289640426635742,4.298303127288818,0.015771709382534,275.7576904296875,274.76190185546875
16,16,5.268808364868164,4.200900554656982,0.0153295174241065,4.959600925445557,4.009381771087647,0.0144090494140982,275.5093994140625,276.9853515625
17,17,5.196285247802734,4.139313220977783,0.0151391280815005,5.676504611968994,4.643885612487793,0.0164304785430431,274.9491577148437,282.0019836425781
18,18,5.300610542297363,4.188036918640137,0.0152936363592743,5.512919902801514,4.193161487579346,0.0152156595140695,275.6176452636719,276.0159912109375
19,19,5.127215385437012,4.053578853607178,0.014785261824727,5.2705793380737305,3.926060676574707,0.0143466433510184,276.2294616699219,270.5373840332031
20,20,4.911509037017822,3.896917819976807,0.0142562733963131,5.958729267120361,4.415532112121582,0.015405292622745,274.95672607421875,281.93438720703125
21,21,5.3937506675720215,4.21965217590332,0.0153351817280054,5.463935375213623,4.361827850341797,0.0160263329744339,275.9615783691406,272.9364013671875
22,22,6.0273118019104,4.623778343200684,0.0167892575263977,5.319280624389648,4.142385005950928,0.015603793784976,276.1612243652344,271.1485595703125
23,23,4.999181270599365,3.9689667224884033,0.0144105851650238,5.030527591705322,3.9008049964904794,0.0142223509028553,275.69189453125,275.3511962890625
24,24,5.038022518157959,3.977681875228882,0.0144433230161666,5.023077964782715,3.882650852203369,0.0144318370148539,276.09765625,271.7178955078125
25,25,5.180935859680176,4.142063617706299,0.0149962976574897,5.6992506980896,4.680517673492432,0.0173324067145586,276.12127685546875,271.5060729980469
26,26,5.213904857635498,4.0529069900512695,0.0147442566230893,6.25447416305542,4.695484638214111,0.0162832904607057,274.9983215332031,281.5616455078125
27,27,4.994695663452148,4.014011383056641,0.0145911173895001,4.81834602355957,3.645814657211304,0.0133639993146061,276.2790832519531,270.09307861328125
28,28,5.117516040802002,4.053948879241943,0.0147580858319997,5.222050666809082,4.17250394821167,0.0156353395432233,276.0036315917969,272.559814453125
29,29,5.0860209465026855,4.012269496917725,0.0145947569981217,4.714593887329102,3.949419498443604,0.0147963548079133,276.033935546875,272.2881164550781
30,30,5.08461332321167,3.975321769714356,0.0144943119958043,5.322245121002197,4.425669193267822,0.0160444620996713,275.5508728027344,276.6139221191406
31,31,4.929407596588135,3.915395498275757,0.0142655996605753,4.874374866485596,3.893080949783325,0.0142054837197065,275.9064636230469,273.4295959472656
32,32,5.247846603393555,4.231446266174316,0.0155358640477061,6.2283124923706055,5.111446380615234,0.018830832093954,275.7239685058594,275.0638732910156
33,33,5.12476110458374,4.063998699188232,0.0147685222327709,5.618135452270508,4.550866603851318,0.0165287312120199,275.4994812011719,277.0740966796875
34,34,5.060159206390381,4.046840667724609,0.0148184467107057,5.318872451782227,4.193047046661377,0.0150586906820535,275.7348937988281,274.9660949707031
35,35,5.190481185913086,4.069322109222412,0.0147974556311964,4.528957843780518,3.775989294052124,0.0139643037691712,275.8847351074219,273.6241760253906
