,Random State,RMSE Train,MAE Train,MAPE Train,RMSE Test,MAE Test,MAPE Test
0,0,1.8426440382535225,1.4211093915841044,0.00529307967868175,4.960121843621969,3.733971074154432,0.013710934553988884
1,1,1.752511718847252,1.3575412879242355,0.0050376183158182455,4.559241823043811,3.768732688963415,0.013808521954096447
2,2,1.795455176743248,1.4035834587229448,0.005234277140150483,4.751377482716869,3.803374822972852,0.014036723808946385
3,3,1.8126693125080775,1.42277796786986,0.005302647208322274,4.652063093675301,3.525882076049056,0.0127817709232425
4,4,1.7653815835003301,1.3989785021960577,0.005191585840376049,5.068682977426766,4.225196374206379,0.015569857485547772
5,5,1.7608884206211142,1.3893981109757927,0.00520249790360512,5.1650668778735,4.070534427526322,0.014411516940661239
6,6,1.691131236112107,1.3250461341328745,0.004923491321189426,5.742312431679257,4.60599010864916,0.016797160121373035
7,7,1.710538785771391,1.3319061698095578,0.004946606331771719,4.5029600330613615,3.5275113697702234,0.012987207798319194
8,8,1.7227142309682626,1.3460562535871623,0.005026115485972361,4.1510175792053525,3.2004587978612293,0.011789612548372283
9,9,1.7865694325311485,1.397914381912508,0.005200113991553392,5.1912573098433334,4.065971247642895,0.014791848322055505
10,10,1.764181507188805,1.3819741977373754,0.005149616372617381,4.593490529098835,3.449395634015856,0.012269555262908774
11,11,1.7678027102622103,1.3879063423456381,0.0051124374605548955,5.142794809891307,3.9554836954338985,0.01479438045888871
12,12,1.7210253047815625,1.3490899905856653,0.0050297713971036535,4.928966917527856,3.65785077726502,0.013156144429828005
13,13,1.6974091864235492,1.330949284531232,0.004979226346851423,5.013795242182575,4.094262614133687,0.01437789326420529
14,14,1.7075390985281034,1.3220531833480285,0.004930883819315613,4.703573427019359,3.5888432741558036,0.012706705446294124
15,15,1.8008187897684906,1.4117930570858892,0.00526294847955903,4.7992311980244065,3.8838416115103085,0.014319433286917035
16,16,1.7020994611402098,1.3584730344970193,0.005058364966455704,4.538468115172924,3.587358833475549,0.012972822066211937
17,17,1.7763936403741942,1.3676311908055132,0.00510632987530078,5.133722342923089,4.126454624332484,0.014614042715621693
18,18,1.7789832760839623,1.396046224950307,0.005201819498463719,4.6145415850218585,3.5226327299238593,0.012583598449240346
19,19,1.7026940748680928,1.319802133498985,0.004899285293035103,4.919408080389382,3.8360060303942776,0.014039166135070386
20,20,1.760732282056577,1.3780099978888825,0.005126868564422104,5.308544400248278,3.966057319607248,0.01412015048427336
21,21,1.7576047034087963,1.3649475161134415,0.005075289209818704,4.624371340525843,3.457187059193852,0.012570607526100383
22,22,1.780364263438807,1.3969187865656953,0.005186781729187137,4.153844410126088,3.361341438626702,0.012563368839468219
23,23,1.740868779813367,1.350273275390269,0.0050223643278131625,4.80254681401521,3.7096423675309578,0.013347901752815354
24,24,1.760162893547094,1.3604186113275787,0.005054344729687754,4.351353973106982,3.496069931124935,0.012981599130066081
25,25,1.8157289485392174,1.4078140858796218,0.005236336609629021,4.830695404208182,3.93327206285569,0.014648180649170955
26,26,1.7720171579810524,1.387535726799402,0.005168609147807081,4.9415289592803715,3.8822328489964653,0.013762446142226457
27,27,1.806496280684996,1.4089077892272435,0.005217950587775645,4.503564850061005,3.4922955481437135,0.01292212779702869
28,28,1.7784666154526922,1.3849901386643895,0.005150955873023988,4.49429635247967,3.593930067653175,0.013324297070947535
29,29,1.8093909700719997,1.409839344830031,0.005211052940479992,4.393243583949202,3.6438096462447556,0.013485952379225362
30,30,1.8650753347200635,1.453225763195095,0.005431764844171742,4.743922488947648,3.8121549095159226,0.013744811711721849
31,31,1.752162052619216,1.3717234657457005,0.005114883240266693,4.697126725788275,3.846405637579209,0.014290673934735291
32,32,1.7884287807090262,1.3871896535297201,0.005138198220607189,5.801553616808199,4.808162190545688,0.017655643616115
33,33,1.7259078058998,1.3516978204770413,0.005043177033965035,5.099383596692655,4.100528553030707,0.01496296659445901
34,34,1.6920452614572592,1.336503893038016,0.00497106496112571,5.249850828562575,4.134454736362807,0.014939658607997957
35,35,1.7586181201142406,1.3649385572776422,0.005092569270547964,4.280360254812545,3.319455243454741,0.01220937802115264
36,36,1.8146195658639659,1.4145395603705146,0.005269171447519192,5.069835479307303,4.029370511366561,0.014852348665480073
37,37,1.7529275160579043,1.3761597385912478,0.005132814634182529,4.629181046766641,3.633114009523934,0.013133827637861533
38,38,1.6622577683012456,1.3032237800566477,0.0048635698399331715,6.426101804580422,4.690467198319653,0.016538969395682192
39,39,1.7380462371563448,1.3577323541445778,0.005051896212689032,4.62230611135565,3.837849043065852,0.01386338518183105
40,40,1.734956351970819,1.3402395836210597,0.005008123272664028,5.2386624987298696,4.258973393868147,0.01496242503155168
41,41,1.7435078952462826,1.359615049024613,0.005077706994276369,4.6560841250206355,3.767915494636719,0.01378114295600556
42,42,1.7589616989923869,1.3673503558211726,0.005097219630847114,5.092914432065364,4.1804760473004805,0.01565389903246474
43,43,1.7341468002799298,1.3636895020732855,0.005066012301738083,5.042269643191617,3.7697318618067275,0.013502022848681464
44,44,1.7839162271190023,1.3832522904043023,0.005136156166794554,4.942252446895047,3.968065320755946,0.014998084703307263
45,45,1.7154920683938772,1.3329856171645025,0.004967331670133425,4.8875828442618845,3.7891845979328194,0.01360323506049858
46,46,1.7439204062053624,1.371386394069172,0.0051114935294932365,4.832364289813646,3.825159568611025,0.014011490169384227
47,47,1.812109596736311,1.415695512987446,0.005255169486287584,4.679310342891462,3.7099869799072085,0.013845398306905224
48,48,1.7382782511247614,1.3693226656885695,0.005065328925199406,4.20813606137436,3.1682271162528908,0.011690872017746644
