Index,DT,Energy,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,BankHols,RetailHols,WkBeforeXMas,WkAfterXMas,Trend2010,AvgDB,LagDB,Lag2DB,AvgWind,AvgClouds
25,1/26/17,244.75,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,7.07,52.35,51.34,44.15,11.41,3.21
26,1/27/17,281.99,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,7.07,38.99,52.35,51.34,9.49,5.58
27,1/28/17,281.33,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,7.08,36.55,38.99,52.35,7.42,2.56
28,1/29/17,274.93,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.08,38.15,36.55,38.99,5.02,5.73
29,1/30/17,309.43,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.08,33.36,38.15,36.55,7.49,4.18
30,1/31/17,297.94,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.08,41.60,33.36,38.15,7.94,1.87
31,2/1/17,268.64,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.09,45.60,41.60,33.36,3.38,3.36
32,2/2/17,264.91,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,7.09,43.75,45.60,41.60,5.21,1.63
33,2/3/17,304.60,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,7.09,34.90,43.75,45.60,5.62,7.67
34,2/4/17,310.78,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,7.10,29.78,34.90,43.75,5.52,0.81
